"","x"
"1297","SH3D21"
"1298","HIVEP1"
"1299","TRIM41"
"1300","TXNRD1"
"1301","SLC12A7"
"1302","RIMOC1"
"1303","ETV3"
"1304","HSPA4"
"1305","PYGO2"
"1306","BDP1"
"1307","FER"
"1308","NEAT1"
"1309","ZBTB7B"
"1310","ZNF865"
"1311","MAST4"
"1312","TMEM214"
"1313","SLC5A6"
"1314","OTUD7B"
"1315","TAF7"
"1316","FKBP4"
"1317","TXNIP"
"1318","TIGD3"
"1319","DUSP1"
"1320","COX5B"
"1321","ACTR1B"
"1322","RNF44"
"1323","MSANTD4"
"1324",""
"1325","LARP1"
"1326","NUDC"
"1327","NR0B2"
"1328","ZC3H8"
"1329","CEP85"
"1330","NDC1"
"1331","BTG1-DT"
"1332","LMAN2"
"1333","CNPY2-AS1"
"1334","RAB35-AS1"
"1335","TSPOAP1-AS1"
"1336",""
"1337","SAMD1"
"1338","PRPF8"
"1339",""
"1340","PRKAA1"
"1341","USP39"
"1342","NOTCH2"
"1343","CCNB1"
"1344","CCNB1"
"1345","SMCR8"
"1346","MSL2"
"1347","KDM5A"
"1348","PRKAA2"
"1349","HIGD2A"
"1350","HEG1"
"1351","TMED9"
"1352","NEK4"
"1353","KLHL17"
"1354","N4BP3"
"1355","MLLT1"
"1356","STK11"
"1357","ZFP36"
"1358","CHPF"
"1359","NAA50"
"1360","MYO18A"
"1361","GM2A"
"1362","SYMPK"
"1363",""
"1364","PDLIM7"
"1365","ALDH9A1"
"1366","HOXB2"
"1367","HOXB4"
"1368","HOXB9"
"1369","ERF"
"1370","H2BC21"
"1371","FLJ13224"
"1372","TAOK1"
"1373","ZBED3"
"1374","FZD5"
"1375","ARSK"
"1376","SERTAD2"
"1377",""
"1378","TAF13"
"1379","EPRS1"
"1380","EPRS1"
"1381","AFTPH"
"1382","IARS2"
"1383","LRP4"
"1384","PITX1"
"1385","CBX4"
"1386","CBX4"
"1387","FZD4"
"1388","RNF213"
"1389","QSER1"
"1390","QSER1"
"1391","ARL4D"
